primer_species,well_dir,ds_rate,tcrb_amp_factor,tcrg_amp_factor
V03-01,1_0125_1X_0p5X__JS022,75,0.8806,0.99137
V03-01,1_0125_1X_0p7X__WD294,75,0.79817,1.18648
V03-01,1_0125_1X_0p7X__WD302,75,0.95752,1.05113
V03-01,1_0125_1X_0p7X__WD310,75,1.03905,1.03774
V03-01,1_0125_2X_0p5X__JS007,75,0.95021,0.86928
V03-01,1_0125_2X_0p5X__JS015,75,0.948,1.08504
V03-01,1_0125_2X_0p5X__JS023,75,0.88329,1.02756
V03-01,1_0125_2X_0p7X__WD295,75,0.94374,0.99696
V03-01,1_0125_2X_0p7X__WD303,75,0.88497,1.04316
V03-01,1_0125_2X_0p7X__WD311,75,0.94487,1.00067
V03-01,1_0125_3X_0p5X__JS008,75,0.87426,0.97966
V03-01,1_0125_3X_0p5X__JS016,75,0.90135,1.07854
V03-01,1_0125_3X_0p5X__JS024,75,0.93132,1.03468
V03-01,1_0125_3X_0p7X__WD296,75,1.03283,1.10503
V03-01,1_0125_3X_0p7X__WD304,75,0.93274,1.03912
V03-01,1_0125_3X_0p7X__WD312,75,0.89047,1.01239
V03-01,1_0250_0X_0p5X__JS049,75,0.83256,0.93698
V03-01,1_0250_0X_0p5X__JS057,75,0.97256,0.9722
V03-01,1_0250_0X_0p5X__JS065,75,0.89926,0.92187
V03-01,1_0250_0X_0p7X__WD337,75,0.94556,1.0187
V03-01,1_0250_0X_0p7X__WD345,75,0.93219,1.09885
V03-01,1_0250_0X_0p7X__WD353,75,0.98575,0.92953
V03-01,1_0250_1X_0p5X__JS050,75,1.10887,1.08437
V03-01,1_0250_1X_0p5X__JS058,75,0.87784,1.03072
V03-01,1_0250_1X_0p5X__JS066,75,0.93446,1.00416
V03-01,1_0250_1X_0p7X__WD338,75,0.98649,1.12908
V03-01,1_0250_1X_0p7X__WD346,75,0.89193,1.06992
V03-01,1_0250_1X_0p7X__WD354,75,0.8472,1.04008
V03-01,1_0250_2X_0p5X__JS051,75,0.94699,1.05649
V03-01,1_0250_2X_0p5X__JS059,75,1.01572,1.19934
V03-01,1_0250_2X_0p5X__JS067,75,0.81272,0.98471
V03-01,1_0250_2X_0p7X__WD339,75,0.79036,0.99124
