Name,Type
Abbuoto,Red
Abouriou,Red
Abrusco,Red
Acolon,Red
Ada Karasi,Red
Affenthaler,Red
Agiorgitiko,Red
Aglianico,Red
Aglianicone,Red
Agni (grape) (cs),Red
Agronomica,Red
Agua Santa,Red
Aidani Mavro,Red
Akhasheni,Red
Aladasturi,Red
Albaranzeuli nero,Red
Albarossa,Red
Aleatico,Red
Alexander,Red
Alexandroouli,Red
Alfrocheiro,Red
Alicante Henri Bouschet,Red
Allegro,Red
Amaral,Red
Ancellotta,Red
André (grape) (cs),Red
Antey Magarachsky,Red
Aragónez,Red
Aramon Noir,Red
Areni,Red
Argaman,Red
Argant,Red
Arinarnoa,Red
Arinto de Bucelas,Red
Arnsburger,Red
Arrouya,Red
Ashughaji,Red
Aspiran Bouschet,Red
Aspiran Noir,Red
Assario,Red
Asuretuli Shavi,Red
Aubun,Red
Avanà,Red
Avarengo,Red
Avgoustiatis,Red
Babić,Red
Bachet Noir,Red
Baco Noir,Red
Baga,Red
Barbera,Red
Barbera del Sannio,Red
Barbera Sarda,Red
Barsaglina,Red
Bastardo Magarachsky,Red
Beaunoir,Red
Beichun,Red
Bekari,Red
Belat,Red
Biborkadarka,Red
Black Queen,Red
Blatina,Red
Blauburger,Red
Blauer Wildbacher,Red
Bobal,Red
Bombino Nero,Red
Bonamico,Red
Bonarda Piemontese,Red
Bonda,Red
Bondola,Red
Bondoletta,Red
Bonicaire,Red
Bonvedro,Red
Borba,Red
Borracal,Red
Bouchalès,Red
Bourrisquou,Red
Bouteillan Noir,Red
Bovale Grande,Red
Bovale Sardo,Red
Boğazkere,Red
Bracciola Nera,Red
Brachetto del Piemonte,Red
Brancellao,Red
Braquet Noir,Red
Brugnola,Red
Brujidera,Red
Brun Argenté,Red
Brun Fourca,Red
Brunal,Red
Brunello,Red
Bubbierasco,Red
Buket,Red
Busuioaca de Bohotin,Red
Béclan,Red
Béquignol Noir,Red
Băbească neagră,Red
Caberinta,Red
Cabernet Carbon,Red
Cabernet Carol,Red
Cabernet Colonjes,Red
Cabernet Cortis,Red
Cabernet Cubin,Red
Cabernet Dorio,Red
Cabernet Dorsa,Red
Cabernet Franc,Red
Cabernet Gernischt,Red
Cabernet Jura,Red
Cabernet Mitos,Red
Cabernet Moravia (cs),Red
Cabernet Pfeffer,Red
Cabernet Sauvignon,Red
Cabernet Severny,Red
Cabertin,Red
Caddiu,Red
Cagnulari,Red
Caino Bravo,Red
Caiño Tinto,Red
Calabrese,Red
Calabrese di Montenuovo,Red
Caladoc,Red
Calandro,Red
Calitor Noir,Red
Callet,Red
Caloria,Red
Camaraou Noir,Red
Camarate,Red
Camarese,Red
Campbell Early,Red
Canaiolo Nero,Red
Canari Noir,Red
Canina Nera,Red
Cannamela,Red
Carcajolo Nero,Red
Caricagiola,Red
Carignan,Red
Carinena,Red
Carmine,Red
Carminoir,Red
Carménère,Red
Carnelian,Red
Carrasquin,Red
Casavecchia,Red
Cascade,Red
Casculho,Red
Casetta,Red
Castagnara,Red
Castelão,Red
Castets,Red
Castiglione,Red
Catalanesca,Red
Catanese Nero,Red
Cavrara,Red
Centesimino,Red
Centurian,Red
Cereza,Red
Cesanese,Red
Cevat Kara,Red
Chambourcin,Red
Chancellor,Red
Charbono,Red
Charentsi,Red
Chatus,Red
Chelois,Red
Chenanson,Red
Chichaud,Red
Chidiriotiko,Red
Chisago,Red
Chkhaveri,Red
Chondromavro,Red
Cianorie,Red
Cienna,Red
Ciliegiolo,Red
Cinsaut,Red
Colombana nera,Red
Colorino,Red
Complexa,Red
Cornalin see Rouge du Pays,Red
Cornifesto,Red
Counoise,Red
Croatina,Red
César,Red
Darnekuša,Red
Dobričić,Red
Dolcetto,Red
Domina,Red
Dornfelder,Red
Douce Noire grise,Red
Dunkelfelder,Red
Duras,Red
Dureza,Red
Ederena,Red
Enfariné noir,Red
Espadeiro,Red
Fer,Red
Ferrón,Red
Fetească neagră,Red
Forcallat tinta,Red
Fortana,Red
Frappato,Red
Freisa,Red
Frühroter Veltliner,Red
Fumin,Red
Gaglioppo,Red
Gamaret,Red
Gamashara,Red
Garanoir,Red
Girò,Red
Gouget noir,Red
Grand noir de la Calmette,Red
Greco nero,Red
Grignolino,Red
Grisa nera,Red
Gropello,Red
Gros Verdot,Red
Gueuche noir,Red
Helfensteiner,Red
Heroldrebe,Red
Hondarribi Beltza,Red
Hron,Red
Juan Garcia,Red
Jurancon noir,Red
Kadarka,Red
Kakhet,Red
Kalecik Karasi,Red
Kotsifali,Red
Krasnostop Zolotovsky,Red
Kratosija,Red
Lagrein,Red
Lambrusco,Red
Liatiko,Red
Limnio,Red
Listan negro,Red
Magyarfrankos,Red
Mammolo,Red
Mandolari,Red
Manseng noir,Red
Manto negro,Red
Mara,Red
Maratheftiko,Red
Marselan,Red
Marsigliana,Red
Marzemino,Red
Mauzac noir,Red
Mavro,Red
Mayorquin,Red
Meghrabujr,Red
Melnik,Red
Merenzao,Red
Merille,Red
Merlot,Red
Milgranet,Red
Mission,Red
Molinara,Red
Mondeuse,Red
Monica,Red
Montepulciano,Red
Moreto,Red
Moristel,Red
Mornen noir,Red
Morrastel Bouschet,Red
Mourisco tinto,Red
Mouyssaguès,Red
Mtevandidi,Red
Mujuretuli,Red
Muscardin,Red
Muscat Bouschet,Red
Muscat Hamburg,Red
Nebbiolo,Red
Negoska,Red
Negrara,Red
Negroamaro,Red
Negru de Dragasani,Red
Neretto di Bairo,Red
Nerkarat,Red
Nero Buono di Cori,Red
Nero d'Avola,Red
Neyret,Red
Nielluccio,Red
Ninčuša,Red
Nocera,Red
Notardomenico,Red
Oeillade noire,Red
Ojaleshi,Red
Oseleta,Red
Pais,Red
Pallagrello nero,Red
Pamid,Red
Pascale di Cagliari,Red
Pelaverga,Red
Peloursin,Red
Perdal,Red
Persan,Red
Petit Bouschet,Red
Petit Rouge,Red
Petit Verdot,Red
Piccola nera,Red
Piedirosso,Red
Pignerol,Red
Pignola Valtellinese,Red
Pignolo,Red
Pineau d'Aunis,Red
Pinotage,Red
Piquepoul noir,Red
Plassa,Red
Pollera nera,Red
Portan,Red
Prieto Picudo,Red
Prokupac,Red
Raboso,Red
Ramisco,Red
Reberger,Red
Rimava,Red
Roesler,Red
Rondinella,Red
Rossese,Red
Rossignola,Red
Rossolino nero,Red
Rotberger,Red
Rubintos,Red
Ruby Cabernet,Red
Sagrantino,Red
Saint-Macaire,Red
San Giuseppe nero,Red
Sangiovese,Red
Saperavi,Red
Schioppettino,Red
Schönburger,Red
Sciacarello,Red
Servanin,Red
Sumoll,Red
Susumaniello,Red
Tannat,Red
Tarrango,Red
Tazzelenghe,Red
Termarina rossa,Red
Terret noir,Red
Thiniatiko,Red
Tibouren,Red
Tinta Amarela,Red
Tinta Barroca,Red
Tinta Caiada,Red
Tinta Carvalha,Red
Tinta Francisca,Red
Tinta Madeira,Red
Tinta Miuda,Red
Tinto Cão,Red
Trepat,Red
Trevisana nera,Red
Turán,Red
Usakhelauri,Red
Uva Rara,Red
Uva Tosca,Red
Uvalino,Red
Valentino nero,Red
Vermentino nero,Red
Vespolina,Red
Vien de Nus,Red
Vranac,Red
Vuillermin,Red
Wrothham Pinot,Red
Xinomavro,Red
Çalkarası,Red
Étraire,Red
Öküzgözü,Red
Žametovka,Red
Bonardo,Red
Garnacha,Red
Juan Ibanez,Red
Cot,Red
Mataro,Red
Müllerebe,Red
Blauburgunder,Red
Brajdica,Red
Roche,Red
Sousón,Red
Ull de Llebre,Red
Preto de Mortágua,Red
Torneiro,Red
Sumarello,Red
Napa Gamay,Red
Primitivo,Red
Rotburger,Red
Turca,Red
Cannonau,Red
Miguel del Arco,Red
Rossola nera,Red
Pinot nero,Red
Bratkovina,Red
Rufeta,Red
Cencibel,Red
Uva di Canosa,Red
Gamay 15,Red
Lladoner Pelut,Red
Garrut,Red
Jurkovica,Red
Tinta del Pais,Red
Uva di Barletta,Red
Lledoner Pelut,Red
Marasovka,Red
Troiano,Red
Tranese,Red
Modrulj,Red
Plavac Plavina,Red
Plavinac,Red
Plavina Mala,Red
Plavina Sitnah,Red
Plavina Velka,Red
Plavka,Red
Plavka Mala,Red
Velika Plavka,Red
Adalmiina,White
Addoraca,White
Airén,White
Albalonga,White
Albana,White
Albanella,White
Albanello bianco,White
Albaranzeuli bianco,White
Albarello,White
Albarola,White
Albillo,White
Aligoté,White
Alionza,White
Amigne,White
Antao Vaz,White
Arbane,White
Arbois,White
Arilla,White
Arneis,White
Arnsburger,White
Arvesiniadu,White
Asprinio bianco,White
Athiri,White
Aubin vert,White
Aurelius,White
Auxerrois blanc,White
Avesso,White
Azal branco,White
Barcelo,White
Bacchus,White
Baco blanc,White
Balzac blanc,White
Baratuciat,White
Barbera bianca,White
Bariadorgia,White
Baroque,White
Belina,White
Benedino,White
Besgano bianco,White
Bia blanc,White
Bianca,White
Bianchetta Trevigiana,White
Bianchetti Genovese,White
Bianco d'Alessano,White
Biancolella,White
Biancu Gentile,White
Biancone di Portoferraio,White
